date,region,product_id,revenue,cost,quantity
2025-11-11,South,P015,550.66,68.2,7
2025-11-09,East,P005,714.3,191.15,3
2025-11-07,East,P015,417.51,90.19,4
2025-11-10,East,P013,876.89,64.89,10
2025-11-09,West,P001,572.85,54.86,7
2025-11-10,East,P012,161.8,63.31,2
2025-11-10,North,P012,1867.26,171.46,8
2025-11-06,East,P002,1815.09,141.27,9
2025-11-08,West,P004,717.96,88.51,6
2025-11-07,South,P009,1419.48,115.95,10
2025-11-09,East,P015,2075.99,159.77,9
2025-11-12,East,P012,1716.38,165.91,9
2025-11-06,East,P018,573.62,55.78,7
2025-11-09,East,P012,1376.97,194.28,5
2025-11-11,East,P013,441.23,98.14,3
2025-11-10,West,P007,599.1,72.43,7
2025-11-09,East,P011,1002.57,73.86,10
2025-11-11,North,P014,2390.9,160.43,10
2025-11-11,West,P012,981.26,81.63,10
2025-11-07,South,P020,305.25,76.48,3
2025-11-09,South,P009,1616.81,135.13,10
2025-11-07,South,P010,845.86,135.49,5
2025-11-07,East,P020,2558.63,192.5,10
2025-11-09,North,P002,176.92,60.78,2
2025-11-12,North,P014,1810.22,154.86,10
2025-11-12,West,P010,697.55,84.95,6
2025-11-11,East,P020,2070.37,184.39,9
2025-11-06,East,P014,783.17,125.65,5
2025-11-07,South,P001,1044.49,98.03,8
2025-11-11,North,P005,822.64,165.25,4
2025-11-07,East,P001,703.94,87.05,6
2025-11-11,West,P009,121.83,110.38,1
2025-11-06,North,P013,643.82,81.32,7
2025-11-11,South,P002,862.55,79.57,9
2025-11-12,West,P005,1397.03,114.15,9
2025-11-11,West,P007,858.05,67.94,9
2025-11-07,West,P006,248.31,65.4,3
2025-11-11,West,P018,605.42,83.11,6
2025-11-07,West,P007,1061.28,179.2,4
2025-11-06,West,P015,1872.35,166.34,8
2025-11-11,East,P015,727.68,137.44,4
2025-11-11,North,P005,499.57,55.96,6
2025-11-06,West,P017,1030.6,152.87,5
2025-11-12,East,P008,172.95,64.27,2
2025-11-11,West,P009,2449.32,196.45,9
2025-11-08,North,P005,327.46,56.52,5
2025-11-10,West,P018,867.25,121.34,5
2025-11-12,West,P009,743.98,187.97,3
2025-11-07,West,P001,763.26,186.31,3
2025-11-11,West,P016,1344.09,151.79,8
2025-11-11,North,P017,1105.88,101.75,8
2025-11-07,South,P006,1510.65,153.06,8
2025-11-08,West,P019,1488.34,192.97,6
2025-11-12,South,P006,612.17,131.68,4
2025-11-12,West,P018,768.18,199.73,3
2025-11-12,North,P005,1219.29,165.42,6
2025-11-07,North,P002,1074.34,114.07,8
2025-11-11,East,P003,846.3,94.15,8
2025-11-09,North,P018,472.4,112.25,3
2025-11-07,East,P006,177.1,141.37,1
2025-11-06,South,P018,968.54,90.48,8
2025-11-08,North,P019,120.99,108.75,1
2025-11-11,West,P015,198.64,153.31,1
2025-11-08,South,P010,470.56,178.95,2
2025-11-10,North,P017,1427.36,122.3,8
2025-11-09,West,P012,468.45,119.89,3
2025-11-11,South,P011,743.48,88.98,6
2025-11-10,South,P012,341.22,96.65,3
2025-11-07,East,P002,489.64,52.0,8
2025-11-11,South,P014,332.62,94.99,3
2025-11-06,East,P003,2077.99,144.12,10
2025-11-12,North,P003,140.83,55.28,2
2025-11-09,South,P008,913.23,172.95,4
2025-11-07,East,P008,546.8,79.22,5
2025-11-10,West,P001,2253.05,157.48,10
2025-11-10,West,P017,144.81,111.21,1
2025-11-07,East,P005,973.24,138.77,5
2025-11-09,West,P015,206.39,61.99,3
2025-11-11,North,P017,1355.47,189.98,6
2025-11-07,East,P008,727.36,75.7,8
2025-11-07,West,P007,730.06,163.16,3
2025-11-12,East,P008,1399.99,120.54,8
2025-11-10,West,P013,417.49,52.5,6
2025-11-09,North,P014,1046.43,157.98,6
2025-11-12,North,P008,158.98,67.56,2
2025-11-10,East,P018,2738.15,185.08,10
2025-11-10,North,P017,218.64,89.12,2
2025-11-07,East,P018,997.03,128.63,7
2025-11-08,North,P012,162.32,143.06,1
2025-11-06,West,P006,2357.01,158.14,10
2025-11-08,East,P004,713.69,104.23,5
2025-11-07,East,P004,332.83,126.43,2
2025-11-10,North,P004,553.62,163.68,3
2025-11-10,North,P007,2328.17,194.74,10
2025-11-11,South,P003,553.51,61.27,8
2025-11-07,North,P002,845.63,106.25,6
2025-11-10,East,P004,2657.33,179.0,10
2025-11-08,North,P006,660.55,115.44,4
2025-11-08,South,P019,365.79,142.94,2
2025-11-06,South,P001,878.74,65.99,9
2025-11-12,South,P020,499.29,54.65,7
2025-11-08,East,P012,1716.57,178.58,8
2025-11-06,East,P004,1516.07,199.01,6
2025-11-09,South,P018,461.67,177.07,2
2025-11-10,North,P014,576.44,199.99,2
2025-11-08,East,P005,509.17,128.52,3
2025-11-09,West,P017,159.1,54.44,2
2025-11-06,East,P020,1662.23,178.3,7
2025-11-12,North,P010,910.84,91.41,8
2025-11-11,North,P009,723.02,182.5,3
2025-11-07,South,P010,90.45,62.08,1
2025-11-12,North,P001,307.37,58.73,4
2025-11-10,West,P006,255.45,69.66,3
2025-11-10,North,P013,1117.17,151.08,6
2025-11-06,East,P016,433.28,185.73,2
2025-11-10,North,P014,1184.58,79.5,10
2025-11-11,South,P013,905.89,85.02,9
2025-11-12,South,P009,1443.91,199.47,6
2025-11-12,West,P016,167.33,144.34,1
2025-11-06,East,P018,204.65,172.29,1
2025-11-06,West,P017,1166.04,106.63,9
2025-11-07,South,P019,1419.36,128.5,10
2025-11-08,West,P002,616.37,154.96,3
2025-11-07,West,P016,661.24,138.18,4
2025-11-06,East,P005,791.53,166.79,4
2025-11-09,West,P009,890.84,107.4,6
2025-11-08,West,P005,102.28,71.13,1
2025-11-12,West,P009,1312.43,195.26,6
2025-11-12,East,P009,376.98,147.53,2
2025-11-08,North,P019,1307.59,131.6,7
2025-11-07,North,P003,713.44,161.58,3
2025-11-09,East,P013,765.9,58.13,10
2025-11-09,East,P001,491.87,138.41,3
2025-11-06,West,P015,600.18,65.13,7
2025-11-12,West,P005,1811.74,155.12,8
2025-11-08,East,P013,538.02,95.32,5
2025-11-12,West,P019,2291.37,187.93,9
2025-11-08,East,P013,794.15,69.71,8
2025-11-08,West,P007,248.88,198.63,1
2025-11-06,South,P017,223.75,166.63,1
2025-11-08,West,P020,1752.91,150.62,10
2025-11-09,South,P002,419.58,69.0,5
2025-11-08,North,P011,559.65,139.18,3
