date,region,product_id,revenue,cost,quantity,product_name,category,brand,cost_price,total_cost,profit,margin_percent
2025-11-07,South,P016,1075.3,145.59,6,,,,,873.54,201.76,18.76
2025-11-10,West,P017,692.22,154.03,4,,,,,616.12,76.10000000000002,10.99
2025-11-11,West,P018,2634.09,182.73,10,,,,,1827.3,806.7900000000002,30.63
2025-11-07,South,P012,160.82,62.67,2,,,,,125.34,35.47999999999999,22.06
2025-11-08,West,P020,202.37,75.47,2,,,,,150.94,51.43000000000001,25.41
2025-11-12,West,P009,1825.87,167.67,8,Wireless Mouse,Accessories,ClickIt,40.0,1341.36,484.51,26.54
2025-11-11,North,P012,195.6,79.51,2,,,,,159.02,36.579999999999984,18.7
2025-11-13,West,P005,824.7,84.33,7,LED Monitor,Electronics,ViewPoint,250.0,590.31,234.3900000000001,28.42
2025-11-08,West,P003,325.55,60.25,4,Headphones Z,Accessories,SoundMax,80.0,241.0,84.55000000000001,25.97
2025-11-13,South,P002,2116.97,186.22,10,Laptop X,Electronics,ComputeCore,750.0,1862.2,254.76999999999975,12.03
2025-11-07,South,P019,750.97,167.15,3,,,,,501.45000000000005,249.51999999999998,33.23
2025-11-09,West,P018,133.52,89.1,1,,,,,89.1,44.420000000000016,33.27
2025-11-10,West,P015,1136.31,149.26,6,,,,,895.56,240.75,21.19
2025-11-13,South,P004,1157.02,119.14,7,Desk Chair,Home,ErgoFit,120.0,833.98,323.03999999999996,27.92
2025-11-11,West,P012,1901.13,166.45,9,,,,,1498.05,403.08000000000015,21.2
2025-11-07,North,P010,966.91,107.03,7,Office Desk,Home,ErgoFit,300.0,749.21,217.69999999999993,22.52
2025-11-09,East,P015,485.06,56.02,6,,,,,336.12,148.94,30.71
2025-11-12,West,P001,206.32,158.99,1,Smartphone A,Electronics,TechNova,200.0,158.99,47.329999999999984,22.94
2025-11-07,West,P006,478.99,85.5,5,Coffee Maker,Home,KitchenPro,90.0,427.5,51.49000000000001,10.75
2025-11-11,South,P005,145.45,108.93,1,LED Monitor,Electronics,ViewPoint,250.0,108.93,36.51999999999998,25.11
2025-11-08,East,P003,517.71,103.36,4,Headphones Z,Accessories,SoundMax,80.0,413.44,104.27000000000004,20.14
2025-11-11,East,P005,826.63,60.48,10,LED Monitor,Electronics,ViewPoint,250.0,604.8,221.83000000000004,26.84
2025-11-07,South,P010,761.59,112.64,6,Office Desk,Home,ErgoFit,300.0,675.84,85.75,11.26
2025-11-13,East,P009,1366.99,193.42,6,Wireless Mouse,Accessories,ClickIt,40.0,1160.52,206.47000000000003,15.1
2025-11-13,South,P013,126.82,85.82,1,,,,,85.82,41.0,32.33
2025-11-08,North,P017,1739.08,132.62,9,,,,,1193.58,545.5,31.37
2025-11-10,South,P005,425.12,162.03,2,LED Monitor,Electronics,ViewPoint,250.0,324.06,101.06,23.77
2025-11-08,East,P005,1729.24,123.5,10,LED Monitor,Electronics,ViewPoint,250.0,1235.0,494.24,28.58
2025-11-09,North,P011,886.17,85.07,7,,,,,595.49,290.67999999999995,32.8
2025-11-11,North,P018,1491.12,112.61,10,,,,,1126.1,365.02,24.48
2025-11-09,West,P020,1953.52,162.32,9,,,,,1460.8799999999999,492.6400000000001,25.22
2025-11-12,North,P020,572.67,159.04,3,,,,,477.12,95.54999999999995,16.69
2025-11-07,South,P017,231.58,168.13,1,,,,,168.13,63.45000000000002,27.4
2025-11-10,West,P015,1617.64,175.48,8,,,,,1403.84,213.80000000000018,13.22
2025-11-11,East,P001,229.08,96.61,2,Smartphone A,Electronics,TechNova,200.0,193.22,35.860000000000014,15.65
2025-11-13,North,P002,218.96,168.85,1,Laptop X,Electronics,ComputeCore,750.0,168.85,50.110000000000014,22.89
2025-11-12,North,P019,539.91,122.01,3,,,,,366.03000000000003,173.87999999999994,32.21
2025-11-10,South,P005,145.43,103.9,1,LED Monitor,Electronics,ViewPoint,250.0,103.9,41.53,28.56
2025-11-12,North,P011,242.29,102.42,2,,,,,204.84,37.44999999999999,15.46
2025-11-07,East,P001,613.34,154.17,3,Smartphone A,Electronics,TechNova,200.0,462.51,150.83000000000004,24.59
2025-11-11,South,P001,1090.15,108.13,8,Smartphone A,Electronics,TechNova,200.0,865.04,225.11000000000013,20.65
2025-11-10,West,P005,1165.49,99.57,9,LED Monitor,Electronics,ViewPoint,250.0,896.1299999999999,269.3600000000001,23.11
2025-11-07,West,P010,1859.93,188.52,8,Office Desk,Home,ErgoFit,300.0,1508.16,351.77,18.91
2025-11-10,North,P002,968.34,85.47,9,Laptop X,Electronics,ComputeCore,750.0,769.23,199.11,20.56
2025-11-12,North,P018,193.42,140.59,1,,,,,140.59,52.829999999999984,27.31
2025-11-10,East,P018,1798.11,127.75,10,,,,,1277.5,520.6099999999999,28.95
2025-11-12,East,P009,260.29,101.74,2,Wireless Mouse,Accessories,ClickIt,40.0,203.48,56.81000000000003,21.83
2025-11-09,South,P006,692.27,181.37,3,Coffee Maker,Home,KitchenPro,90.0,544.11,148.15999999999997,21.4
2025-11-10,West,P015,192.09,66.59,2,,,,,133.18,58.91,30.67
2025-11-12,North,P011,528.72,95.12,5,,,,,475.6,53.120000000000005,10.05
2025-11-10,North,P011,286.62,119.04,2,,,,,238.08,48.53999999999999,16.94
2025-11-07,South,P002,1157.05,119.11,7,Laptop X,Electronics,ComputeCore,750.0,833.77,323.28,27.94
2025-11-11,South,P019,264.88,112.19,2,,,,,224.38,40.5,15.29
2025-11-11,East,P008,1097.81,126.08,6,Backpack Travel,Accessories,UrbanTrail,65.0,756.48,341.3299999999999,31.09
2025-11-13,East,P011,696.68,80.48,7,,,,,563.36,133.31999999999994,19.14
2025-11-13,North,P012,1177.36,165.5,5,,,,,827.5,349.8599999999999,29.72
2025-11-13,North,P012,1566.37,158.9,7,,,,,1112.3,454.06999999999994,28.99
2025-11-13,West,P003,554.5,61.74,7,Headphones Z,Accessories,SoundMax,80.0,432.18,122.32,22.06
2025-11-10,North,P011,1069.21,71.43,10,,,,,714.3000000000001,354.90999999999997,33.19
2025-11-13,West,P007,268.12,115.54,2,Sneakers Air,Sports,RunEase,110.0,231.08,37.03999999999999,13.81
2025-11-09,West,P015,875.34,94.68,8,,,,,757.44,117.89999999999998,13.47
2025-11-09,West,P007,672.39,83.98,7,Sneakers Air,Sports,RunEase,110.0,587.86,84.52999999999997,12.57
2025-11-10,West,P006,751.02,96.87,7,Coffee Maker,Home,KitchenPro,90.0,678.09,72.92999999999995,9.71
2025-11-12,South,P007,1820.04,167.83,9,Sneakers Air,Sports,RunEase,110.0,1510.47,309.56999999999994,17.01
