date,region,product_id,revenue,cost,quantity
2025-11-08,West,P005,372.79,147.98,2
2025-11-10,West,P008,243.5,91.14,2
2025-11-06,East,P007,964.25,114.02,6
2025-11-08,South,P007,802.83,151.17,4
2025-11-08,East,P016,208.18,81.57,2
2025-11-06,West,P003,2230.77,186.91,9
2025-11-07,North,P011,1941.27,178.6,8
2025-11-07,West,P005,240.83,182.56,1
2025-11-12,South,P005,529.65,71.18,6
2025-11-10,East,P014,1535.56,172.96,7
2025-11-10,North,P020,357.55,125.7,2
2025-11-07,South,P013,127.84,51.89,2
2025-11-06,East,P020,1309.87,171.78,6
2025-11-11,South,P014,666.41,57.94,9
2025-11-09,West,P017,423.81,168.25,2
2025-11-09,South,P002,479.37,121.72,3
2025-11-07,East,P001,193.87,85.89,2
2025-11-12,North,P010,1033.55,164.8,5
2025-11-07,West,P009,707.89,70.67,8
2025-11-07,South,P018,797.25,76.64,9
2025-11-11,North,P003,1011.7,85.32,10
2025-11-08,East,P013,728.17,81.67,6
2025-11-10,East,P004,924.53,112.63,6
2025-11-11,South,P009,2069.76,158.62,10
2025-11-07,West,P014,804.15,80.47,8
2025-11-09,South,P009,1040.31,172.71,5
2025-11-11,West,P018,283.0,98.11,2
2025-11-11,West,P009,474.51,84.99,5
2025-11-12,East,P008,233.76,53.01,3
2025-11-06,East,P015,1411.41,176.76,7
2025-11-11,South,P008,223.24,76.49,2
2025-11-11,South,P018,597.31,58.74,7
2025-11-10,North,P002,1103.68,90.59,10
2025-11-11,West,P016,1542.1,137.28,9
2025-11-11,South,P004,1030.46,143.72,6
2025-11-06,West,P013,870.05,123.55,6
2025-11-08,South,P001,2420.77,182.99,10
2025-11-12,North,P016,672.66,61.81,8
2025-11-09,West,P012,732.69,63.36,9
2025-11-10,West,P004,1910.12,189.5,7
2025-11-09,West,P013,1190.24,171.16,5
2025-11-06,East,P005,395.91,138.53,2
2025-11-09,East,P020,904.77,182.99,4
2025-11-09,West,P020,1426.8,104.92,10
2025-11-08,North,P001,477.58,92.05,4
2025-11-07,East,P008,420.25,73.64,4
2025-11-11,East,P012,411.29,183.83,2
2025-11-06,East,P017,1439.28,111.65,10
2025-11-10,North,P007,856.4,189.49,4
2025-11-08,East,P008,77.47,63.38,1
2025-11-06,West,P015,325.3,59.5,4
2025-11-09,East,P016,745.39,83.8,8
2025-11-07,West,P001,673.37,66.92,7
